method,fraction,run,algorithm,auc_score
nnar,0.35,17,ModelScorer,0.6428571428571429
ncar,0.1,6,AUMScorer,0.5864611994762405
ncar,0.5,6,ModelScorer,0.9285714285714284
ncar,0.15,18,AUMScorer,0.7504255491644745
nnar,0.3,18,ModelScorer,0.9285714285714284
ncar,0.3,10,RandomForestScorer,0.8413719445947836
nnar,0.25,13,RandomForestScorer,0.7995569929647413
nar,0.2,16,ModelScorer,0.7142857142857143
nar,0.35,17,ModelScorer,0.7142857142857142
ncar,0.15,2,ModelScorer,0.6428571428571429
nar,0.05,19,RandomForestScorer,0.8837752130849265
nar,0.25,6,ModelScorer,0.8571428571428571
nar,0.5,3,AUMScorer,0.5001261972755316
ncar,0.05,14,AUMScorer,0.7016903349236349
ncar,0.25,17,AUMScorer,0.7656944082695608
nnar,0.15,12,AUMScorer,0.6885223831042558
ncar,0.2,18,AUMScorer,0.7735244629941522
nar,0.3,13,RandomForestScorer,0.8302398694588893
nar,0.1,0,AUMScorer,0.7528621989468742
nnar,0.4,17,ModelScorer,0.6428571428571429
nar,0.35,3,RandomForestScorer,0.836391640638966
nar,0.5,0,ModelScorer,0.6428571428571428
ncar,0.15,10,RandomForestScorer,0.8351340910297222
nar,0.25,14,RandomForestScorer,0.8096119820644883
nnar,0.5,19,ModelScorer,0.7142857142857143
ncar,0.2,2,ModelScorer,0.8571428571428571
nnar,0.45,5,AUMScorer,0.5820953227201455
nar,0.1,6,ModelScorer,0.8571428571428571
nnar,0.05,14,RandomForestScorer,0.8821076990469545
nar,0.05,17,AUMScorer,0.7217914926049463
nar,0.4,17,ModelScorer,0.8571428571428571
nnar,0.2,12,AUMScorer,0.5917149041359413
nnar,0.4,6,AUMScorer,0.6581696384653098
ncar,0.05,6,RandomForestScorer,0.890200623638989
ncar,0.05,15,AUMScorer,0.6584141824935661
nnar,0.45,15,RandomForestScorer,0.787921615035829
ncar,0.3,5,ModelScorer,0.7857142857142857
nnar,0.35,14,AUMScorer,0.5236760758368182
nnar,0.3,5,RandomForestScorer,0.8082484116633765
ncar,0.2,10,RandomForestScorer,0.8515599866501427
nnar,0.25,8,ModelScorer,0.7142857142857143
ncar,0.5,3,AUMScorer,0.4054343674535576
ncar,0.25,0,RandomForestScorer,0.8206473007426995
nar,0.25,12,AUMScorer,0.6484570031302621
nar,0.15,4,RandomForestScorer,0.8410272865707556
nar,0.45,15,RandomForestScorer,0.80851666103405
ncar,0.1,9,AUMScorer,0.7233899042582214
nar,0.35,14,AUMScorer,0.6451625825798877
ncar,0.3,13,RandomForestScorer,0.8196390291685796
nar,0.3,8,ModelScorer,0.7142857142857143
nnar,0.05,3,AUMScorer,0.742106366682481
ncar,0.35,3,RandomForestScorer,0.8145491546279924
nar,0.05,0,RandomForestScorer,0.8782007821350356
nar,0.25,9,ModelScorer,0.7142857142857143
nar,0.1,14,ModelScorer,0.8571428571428571
ncar,0.45,16,ModelScorer,0.7857142857142857
ncar,0.1,19,RandomForestScorer,0.8651233334259292
nnar,0.05,9,ModelScorer,0.7142857142857143
nar,0.45,13,AUMScorer,0.4793312565435761
nar,0.1,3,AUMScorer,0.711316578790502
ncar,0.05,1,ModelScorer,0.9285714285714286
ncar,0.25,11,AUMScorer,0.5182391783445291
nnar,0.35,6,AUMScorer,0.712112207360685
nar,0.35,6,RandomForestScorer,0.8297706488943752
ncar,0.4,12,RandomForestScorer,0.8126746431670943
nnar,0.45,10,ModelScorer,0.6428571428571428
ncar,0.3,11,AUMScorer,0.7569357392754338
ncar,0.2,5,ModelScorer,0.7142857142857143
nar,0.25,4,AUMScorer,0.6473091686109814
nar,0.15,12,RandomForestScorer,0.8473173652518445
ncar,0.35,1,AUMScorer,0.5252766968079154
ncar,0.5,14,RandomForestScorer,0.7846606132992421
ncar,0.45,2,RandomForestScorer,0.7999939279111233
nnar,0.3,0,ModelScorer,0.7857142857142857
nnar,0.5,0,ModelScorer,0.5714285714285714
nar,0.5,9,ModelScorer,0.7857142857142857
nar,0.45,10,ModelScorer,0.5714285714285714
nnar,0.4,15,AUMScorer,0.6974733578998289
ncar,0.15,13,ModelScorer,0.7857142857142857
nnar,0.5,8,RandomForestScorer,0.8106854224185028
nar,0.5,17,RandomForestScorer,0.8252387971623745
ncar,0.1,14,ModelScorer,0.7857142857142857
nar,0.4,6,RandomForestScorer,0.8220255900592527
nnar,0.1,14,RandomForestScorer,0.8320002491062534
nar,0.3,5,AUMScorer,0.7694022732874771
nar,0.45,18,RandomForestScorer,0.820982075286692
ncar,0.5,12,AUMScorer,0.4016864200157661
nnar,0.15,4,RandomForestScorer,0.851775541791922
nnar,0.2,18,ModelScorer,0.7857142857142857
nnar,0.05,8,ModelScorer,0.8571428571428571
ncar,0.45,13,AUMScorer,0.5863725707167395
nnar,0.05,6,AUMScorer,0.6573047663112035
ncar,0.4,7,ModelScorer,0.7142857142857143
ncar,0.15,12,RandomForestScorer,0.8520567714817987
nar,0.15,7,ModelScorer,0.8571428571428571
ncar,0.5,9,ModelScorer,0.7142857142857143
nar,0.25,18,ModelScorer,0.7142857142857143
nnar,0.45,7,AUMScorer,0.527090734158555
