method,fraction,run,algorithm,auc_score
nar,0.45,19,ModelScorer,0.7142857142857142
nar,0.1,16,AUMScorer,0.94023339085534
nar,0.3,15,ModelScorer,0.8571428571428571
nar,0.5,9,ModelScorer,0.8571428571428571
nnar,0.4,9,AUMScorer,0.9514499576825832
nar,0.5,11,AUMScorer,0.9683633300621785
nnar,0.4,15,RandomForestScorer,0.7511155480002091
ncar,0.15,14,RandomForestScorer,0.8407883302547997
ncar,0.05,11,ModelScorer,1.0
nar,0.35,1,AUMScorer,0.938884972567394
nnar,0.15,16,AUMScorer,0.9319875334180268
nnar,0.35,15,ModelScorer,0.7142857142857142
nnar,0.5,17,RandomForestScorer,0.7091692132472809
nar,0.15,7,RandomForestScorer,0.8416324563225253
ncar,0.05,13,AUMScorer,0.9469954177732348
nar,0.45,18,RandomForestScorer,0.7864119656398639
ncar,0.4,17,RandomForestScorer,0.7869598211706019
nnar,0.05,10,ModelScorer,0.9285714285714284
ncar,0.3,5,ModelScorer,0.8571428571428571
ncar,0.35,17,ModelScorer,0.7142857142857143
ncar,0.25,6,ModelScorer,0.7857142857142858
ncar,0.35,19,AUMScorer,0.9732046519250068
nnar,0.25,6,RandomForestScorer,0.7800200022358382
nnar,0.2,16,AUMScorer,0.8945678037742433
ncar,0.25,8,AUMScorer,0.9450801268030632
nar,0.2,7,AUMScorer,0.8929862726361887
nnar,0.35,16,ModelScorer,0.7142857142857142
ncar,0.35,16,RandomForestScorer,0.7945697913834076
nar,0.25,19,AUMScorer,0.950231236434012
nnar,0.3,19,AUMScorer,0.9134810122053652
nnar,0.35,9,AUMScorer,0.91711219971626
ncar,0.4,17,ModelScorer,0.7142857142857143
ncar,0.4,19,AUMScorer,0.961317483271753
ncar,0.45,9,AUMScorer,0.9853099933284653
nar,0.45,0,ModelScorer,0.7857142857142857
nnar,0.5,1,AUMScorer,0.5087663988097246
nar,0.4,8,RandomForestScorer,0.7844179766914116
ncar,0.1,5,RandomForestScorer,0.8718748807464299
ncar,0.15,17,RandomForestScorer,0.8469043138660846
ncar,0.2,16,RandomForestScorer,0.8266978907613411
nnar,0.45,8,RandomForestScorer,0.7599602428822144
nnar,0.4,18,AUMScorer,0.9413925564499476
nar,0.1,16,RandomForestScorer,0.8709354524615165
nar,0.15,10,AUMScorer,0.965130659784921
nnar,0.1,4,RandomForestScorer,0.8227422278711047
nar,0.35,1,RandomForestScorer,0.7478018805858325
nnar,0.15,16,RandomForestScorer,0.7872385778496674
nnar,0.05,13,ModelScorer,0.9285714285714286
ncar,0.05,13,RandomForestScorer,0.9080660546660856
ncar,0.45,10,RandomForestScorer,0.7708114589493317
nar,0.4,17,ModelScorer,0.5714285714285715
nar,0.05,4,ModelScorer,0.9285714285714284
ncar,0.1,14,ModelScorer,0.9285714285714286
nnar,0.45,17,ModelScorer,0.7142857142857143
nnar,0.25,9,AUMScorer,0.6631380181750739
nnar,0.05,12,RandomForestScorer,0.8329233010066422
nar,0.2,10,AUMScorer,0.8906803858847451
ncar,0.5,1,RandomForestScorer,0.7688153918043544
ncar,0.2,16,ModelScorer,0.8571428571428571
nar,0.25,0,AUMScorer,0.8813025817802966
ncar,0.35,19,RandomForestScorer,0.7871283078075928
nar,0.3,12,AUMScorer,0.885572115942393
ncar,0.2,18,AUMScorer,0.9704858015100618
nnar,0.2,16,RandomForestScorer,0.799828898558075
nar,0.35,10,ModelScorer,0.8571428571428571
nar,0.3,18,RandomForestScorer,0.8070069054715079
nnar,0.3,0,AUMScorer,0.8941071171021416
nar,0.35,12,AUMScorer,0.9510895178761316
nar,0.2,7,RandomForestScorer,0.8258061147802956
