method,fraction,run,algorithm,auc_score
ncar,0.5,9,ModelScorer,0.6428571428571429
nar,0.05,0,AUMScorer,0.7224992912664536
nar,0.05,0,RandomForestScorer,0.9388476107226108
nar,0.05,0,ModelScorer,1.0
nar,0.05,1,AUMScorer,0.9610532485564318
nar,0.05,1,RandomForestScorer,0.792007781583845
nar,0.05,1,ModelScorer,0.8571428571428571
nar,0.05,2,AUMScorer,0.9642751253057302
nar,0.05,2,RandomForestScorer,0.9337708071649156
nar,0.05,2,ModelScorer,1.0
nar,0.05,3,AUMScorer,0.7818403979039525
nar,0.05,3,RandomForestScorer,0.9739602103482514
nar,0.05,3,ModelScorer,1.0
nar,0.05,4,AUMScorer,0.8566298038754883
nar,0.05,4,RandomForestScorer,0.987887843827704
nar,0.05,4,ModelScorer,0.9285714285714286
nar,0.05,5,AUMScorer,0.8805568680737631
nar,0.05,5,RandomForestScorer,0.927386257432716
nar,0.05,5,ModelScorer,0.9285714285714286
nar,0.05,6,AUMScorer,0.9634783129916064
nar,0.05,6,RandomForestScorer,0.8775175549291176
nar,0.05,6,ModelScorer,0.8571428571428572
nar,0.05,7,AUMScorer,0.7885743727346765
nar,0.05,7,RandomForestScorer,0.9433302565587705
nar,0.05,7,ModelScorer,0.8571428571428572
nar,0.05,8,AUMScorer,0.9753093044043472
nar,0.05,8,RandomForestScorer,0.8781049988304864
nar,0.05,8,ModelScorer,0.9285714285714286
nar,0.05,9,AUMScorer,0.7806013255408399
nar,0.05,9,RandomForestScorer,0.912800895941278
nar,0.05,9,ModelScorer,0.9285714285714286
nar,0.1,0,AUMScorer,0.8071291184056888
nar,0.1,0,RandomForestScorer,0.846693993709821
nar,0.1,0,ModelScorer,0.8571428571428572
nar,0.1,1,AUMScorer,0.6581019962565969
nar,0.1,1,RandomForestScorer,0.7361883027320607
nar,0.1,1,ModelScorer,0.7142857142857143
nar,0.1,2,AUMScorer,0.8836309155021995
nar,0.1,2,RandomForestScorer,0.8636933510367814
